BibKG property,count
id,11089213
type,11022418
name,11017169
mdate,8302521
year,5568072
url,5529317
has_author,5490050
ee,5391047
pages,4877148
fos,4599625
n_citation,4424311
cites,3749071
abstract,3669916
keywords,3208612
booktitle,2920363
serie,2918472
in_proceedings,2849184
key,2734446
volume,2574395
in_journal,2549575
number,1834826
publtype,409737
affiliation,97208
orcid,86633
school,82505
publisher,70770
isbn,65299
wikidata,47170
note,35816
series,30295
in_collection,22187
scholar,18026
cdrom,12537
month,11297
publtype,9808
note,2047
uname,1874
cite,147
doi,9
keywords,5
publnr,3
address,3
chapter,2
cdate,1
abstract,1
fos,1
